Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,日本語通用名称,記号の読み,文字種別,大文字／小文字,フォネティック読み,,読みの重複,
8292,2372,ｒ,ロミオ,ライド,ロミオ,ロミオ,,アール,ラテン文字,小文字,ルーム,,,
8293,2373,ｓ,シアラ,ソフト,シアラ,シアラ,,エス,ラテン文字,小文字,スポーツ,,＊＊,ロシア文字と同じ読み
8294,2374,ｔ,タンゴ,タイム,タンゴ,タンゴ,,ティー,ラテン文字,小文字,タイム,,,
8295,2375,ｕ,ユニフォーム,ユースフル,ユニフォーム,ユニフォーム,,ユー,ラテン文字,小文字,ユージュアリー,,＊＊,ロシア文字と同じ読み
8296,2376,ｖ,ビクタ,ヴィクトリー,ビクタ,ビクタ,,ブイ,ラテン文字,小文字,ビデオ,,,
8297,2377,ｗ,ウィスキー,ウーマン,ウィスキー,ウィスキー,,ダブリュー,ラテン文字,小文字,ウィンドウ,,,
8298,2378,ｘ,エクスレイ,ゼロックス,エクスレイ,エックスレイ,,エックス,ラテン文字,小文字,エックスセン,,,
8299,2379,ｙ,ヤンキー,イエロー,ヤンキ,ヤンキー,,ワイ,ラテン文字,小文字,ヤング,,,
829A,237A,ｚ,ズル,ゼブラ,ズル,ズール,,ゼット,ラテン文字,小文字,ズー,,,
829F,2421,ぁ,チイサイア,チイサイアサヒ,チイサイア,チイサイア,,チイサイア,平仮名,,チイサイアサヒノア,,,
82A0,2422,あ,アサヒノア,（ひらがな省略）アサヒ,アサヒノア,アサヒノア,,ア,平仮名,,アサヒノア,,,
82A1,2423,ぃ,チイサイイ,チイサイイロハ,チイサイイ,チイサイイ,,チイサイイ,平仮名,,チイサイイチゴノイ,,,
82A2,2424,い,イロハノイ,イロハ,イロハノイ,イロハノイ,,イ,平仮名,,イチゴノイ,,＊＊,ゐ、ヰと同じ読み
82A3,2425,ぅ,チイサイウ,チイサイウサギ,チイサイウ,チイサイウ,,チイサイウ,平仮名,,チイサイウサギノウ,,,
82A4,2426,う,ウエノノウ,ウサギ,ウエノノウ,ウエノノウ,,ウ,平仮名,,ウサギノウ,,,
82A5,2427,ぇ,チイサイエ,チイサイエド,チイサイエ,チイサイエ,,チイサイエ,平仮名,,チイサイエイゴノエ,,,
