Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,フォネティック読み,日本語通用名称,記号の読み,文字種別,大文字／小文字,,,読みの重複,
82F1,2473,ん,オシマイノン,オワリノン,オシマイノン,オシマイノン,オシマイノン,,ン,平仮名,,,,,
8340,2521,ァ,チイサイア,チイサイアサヒ,チイサイア,,チイサイアサヒノア,,チイサイア,片仮名,,,,,
8341,2522,ア,アサヒノア,アサヒ,アサヒノア,,アサヒノア,,ア,片仮名,,,,,
8342,2523,ィ,チイサイイ,チイサイイロハ,チイサイイ,,チイサイイチゴノイ,,チイサイイ,片仮名,,,,,
8343,2524,イ,イロハノイ,イロハ,イロハノイ,,イチゴノイ,,イ,片仮名,,,,＊＊,ゐ、ヰと同じ読み
8344,2525,ゥ,チイサイウ,チイサイウサギ,チイサイウ,,チイサイウサギノウ,,チイサイウ,片仮名,,,,,
8345,2526,ウ,ウエノノウ,ウサギ,ウエノノウ,,ウサギノウ,,ウ,片仮名,,,,,
8346,2527,ェ,チイサイエ,チイサイエド,チイサイエ,,チイサイエイゴノエ,,チイサイエ,片仮名,,,,,
8347,2528,エ,エイゴノエ,エド,エイゴノエ,,エイゴノエ,,エ,片仮名,,,,＊＊,ゑ、ヱと同じ読み
8348,2529,ォ,チイサイオ,チイサイオオサカ,チイサイオ,,チイサイオオサカノオ,,チイサイオ,片仮名,,,,,
8349,252A,オ,オオサカノオ,オオサカ,オオサカノオ,,オオサカノオ,,オ,片仮名,,,,＊＊,を、ヲと同じ読み
834A,252B,カ,カワセノカ,カメラ,カワセノカ,,カゾクノカ,,カ,片仮名,,,,,
834B,252C,ガ,ガッコウノガ,ガッコウ,ガッコウノガ,ガッコウノガ,ガッコウノガ,,ガ,片仮名,,,,,
834C,252D,キ,キッテノキ,カメラ,キッテノキ,,キッテノキ,,キ,片仮名,,,,,
834D,252E,ギ,ギリシャノギ,ギンコウ,ギリシャノギ,ギターノギ,ギンコウノギ,,ギ,片仮名,,,,,
834E,252F,ク,クラブノク,クリ,クラブノク,,クスリノク,,ク,片仮名,,,,,
834F,2530,グ,グランドノグ,グンマ,グランドノグ,グンジョウノグ,グランドノグ,,グ,片仮名,,,,,
8350,2531,ケ,ケシキノケ,ケーキ,ケシキノケ,,ケシキノケ,,ケ,片仮名,,,,,
8351,2532,ゲ,ゲームノゲ,ゲンキン,ゲームノゲ,ゲンキノゲ,ゲームノゲ,,ゲ,片仮名,,,,,
8352,2533,コ,コドモノコ,コグマ,コドモノコ,,コドモノコ,,コ,片仮名,,,,,
8353,2534,ゴ,ゴリラノゴ,ゴハン,ゴリラノゴ,ゴマノゴ,ゴリラノゴ,,ゴ,片仮名,,,,＊＊,５と同じ読み
8354,2535,サ,サクラノサ,サカナ,サクラノサ,,サクラノサ,,サ,片仮名,,,,,
8355,2536,ザ,ザブトンノザ,ザーサイ,ザブトンノザ,ザッシノザ,ザブトンノザ,,ザ,片仮名,,,,,
8356,2537,シ,シンブンノシ,シケン,シンブンノシ,,シンブンノシ,,シ,片仮名,,,,,
8357,2538,ジ,シジミノジ,ジシン,シジミノジ,ジカンノジ,ジカンノジ,,ジ,片仮名,,,,,
8358,2539,ス,スズメノス,スパイ,スズメノス,,スズメノス,,ス,片仮名,,,,,
8359,253A,ズ,ズボンノズ,ズボン,ズボンノズ,ズコウノズ,ズボンノズ,,ズ,片仮名,,,,,
835A,253B,セ,セカイノセ,センタクキ,セカイノセ,,セカイノセ,,セ,片仮名,,,,,
835B,253C,ゼ,ゼイカンノゼ,ゼイキン,ゼイカンノゼ,ゼンアクノゼ,ゼンブノゼ,,ゼ,片仮名,,,,,
