漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
葛,カットウノカツ，クズ,かっとうのかつ，くず
褐,カッショクノカツ,かっしょくのかつ
轄,カンカツスルノカツ,かんかつするのかつ
且,ナオカツノカツ,なおかつのかつ
鰹,カツオ，ウオヘンニカタイ,かつお，うおへんにかたい
叶,カナウ，クチヘンニジュウ,かなう，くちへんにじゅう
椛,カバ，キヘンニハナ,かば，きへんにはな
樺,シラカバノカバ,しらかばのかば
鞄,カバン,かばん
株,カブシキノカブ,かぶしきのかぶ
兜,テツカブトノカブト,てつかぶとのかぶと
竃,カマド,かまど
蒲,カバヤキノカバ,かばやきのかば
釜,カマメシノカマ,かまめしのかま
鎌,カマクラノカマ,かまくらのかま
噛,カム，クチヘンニハ,かむ，くちへんには
鴨,トリノカモ,とりのかも
栢,カヤ，キヘンニヒャク,かや，きへんにひゃく
茅,カヤブキノカヤ,かやぶきのかや
萱,クサカンムリニセンデンノセン,くさかんむりにせんでんのせん
粥,オカユノカユ,おかゆのかゆ
刈,クサカリノカリ，カル,くさかりのかり，かる
苅,カル，クサカンムリノカル,かる，くさかんむりのかる
瓦,レンガノガ，カワラ,れんがのが，かわら
乾,カワク，カンソウキノカン,かわく，かんそうきのかん
侃,カンカンガクガクノカン,かんかんがくがくのかん
冠,カンムリ，エイカンノカン,かんむり，えいかんのかん
寒,アツイサムイノサムイ，カン,あついさむいのさむい，かん
刊,シュウカンシノカン,しゅうかんしのかん
勘,オカンジョウノカン,おかんじょうのかん
勧,カンユウスルノカン，ススメル,かんゆうするのかん，すすめる
巻,ノリマキノマキ,のりまきのまき
喚,ショウニンカンモンノカン,しょうにんかんもんのかん
堪,カンニンブクロノカン，タエル,かんにんぶくろのかん，たえる
姦,カシマシイ，オンナミッツノカン,かしましい，おんなみっつのかん
完,カンリョウスルノカン,かんりょうするのかん
官,ケイサツカンノカン,けいさつかんのかん
寛,カンダイナノカン，ヒロイ,かんだいなのかん，ひろい
干,カンチョウノカン，ホス,かんちょうのかん，ほす
幹,シンカンセンノカン，ミキ,しんかんせんのかん，みき
患,カンジャノカン，ワズラウ,かんじゃのかん，わずらう
感,カンソウブンノカン,かんそうぶんのかん
慣,シュウカンノカン，ナレル,しゅうかんのかん，なれる
憾,イカンナクノカン,いかんなくのかん
換,カンキセンノカン，カエル,かんきせんのかん，かえる
敢,ユウカンナノカン，アエテ,ゆうかんなのかん，あえて
柑,カンキツルイノカン,かんきつるいのかん
桓,カンムテンノウノカン,かんむてんのうのかん
棺,カンオケノカン，ヒツギ,かんおけのかん，ひつぎ
款,エンシャッカンノカン,えんしゃっかんのかん
歓,カンゲイノカン，ヨロコブ,かんげいのかん，よろこぶ
汗,アセ，ハッカンノカン,あせ，はっかんのかん
漢,カンジテストノカン,かんじてすとのかん
澗,カン，サンズイニアイダ,かん，さんずいにあいだ
潅,カンボクノカン,かんぼくのかん
環,シゼンカンキョウノカン,しぜんかんきょうのかん
甘,アマイ，カンミリョウノカン,あまい，かんみりょうのかん
監,カントクスルノカン,かんとくするのかん
看,カンビョウノカン,かんびょうのかん
竿,サオダケノサオ，カン,さおだけのさお，かん
管,カンリスルノカン,かんりするのかん
簡,カンタンナノカン,かんたんなのかん
緩,ユルヤカ，カンワスルノカン,ゆるやか，かんわするのかん
缶,カンヅメノカン,かんづめのかん
翰,ショカンヲオクルノカン，シンカンセンノカンノホスノカワリニウモウノウ,しょかんをおくるのかん，しんかんせんのかんのほすのかわりにうもうのう
肝,カンゾウノカン，キモ,かんぞうのかん，きも
艦,センスイカンノカン,せんすいかんのかん
莞,クサカンムリニカンリョウスルノカン,くさかんむりにかんりょうするのかん
観,カンキャクノカン,かんきゃくのかん
諌,イサメル，カンゲンスルノカン,いさめる，かんげんするのかん
貫,イッカンスルノカン，ツラヌク,いっかんするのかん，つらぬく
還,カンレキノカン，カエル,かんれきのかん，かえる
鑑,ズカンノカン,ずかんのかん
間,ジカンノカン，アイダ,じかんのかん，あいだ
閑,カンコドリノカン，ヒマ,かんこどりのかん，ひま
関,カンケイノカン，セキ,かんけいのかん，せき
陥,オチイル，カンラクノカン,おちいる，かんらくのかん
韓,カンコクジンノカン,かんこくじんのかん
館,トショカンノカン,としょかんのかん
舘,ヤカタノイタイジ，カン,やかたのいたいじ，かん
丸,ヒノマルノマル，ガン,ひのまるのまる，がん
含,フクム，ガンチクノガン,ふくむ，がんちくのがん
岸,カイガンノガン，キシ,かいがんのがん，きし
巌,ガンリュウジマノガン，イワオ,がんりゅうじまのがん，いわお
玩,ガングノガン，モテアソブ,がんぐのがん，もてあそぶ
癌,ガンサイボウノガン,がんさいぼうのがん
眼,ソウガンキョウノガン,そうがんきょうのがん
岩,イワ，ガンセキ,いわ，がんせき
翫,ガン，レンシュウノシュウニゲンキノゲン,がん，れんしゅうのしゅうにげんきのげん
贋,ガンサクノガン，ニセ,がんさくのがん，にせ
雁,ワタリドリノガン，カリ,わたりどりのがん，かり
