漢字,詳細読み(カタカナ),詳細読み(漢字仮名交じり),音読み,,,,,訓読み,,,,,,,,
剔,テキシュツスルノテキ，ボウエキノエキ，ヤサシイニリットウ,剔出するのテキ，貿易風のエキ，易しいにりっとう,テキ,テイ,,,,えぐ（る）,のぞ（く）,そ（る）,,,,,,
剪,ニワキヲセンテイスルノセン，キル,庭木を剪定するのセン，剪る,セン,,,,,き（る）,つ（む）,ほろ（ぼす）,はさみ,はさ（む）,,,,
剴,ガイ，ヨロイノツクリニリットウ,ガイ，鎧の旁にりっとう,ガイ,,,,,あ（たる）,あては（まる）,,,,,,,
剩,ジョウ，ジシンカジョウノジョウノキュウジ,ジョウ，自信過剰のジョウの旧字,,,,,,,,,,,,,,
剳,ゴジュウノトウノトウノツクリニリットウ,五重塔のトウの旁にりっとう,サツ,トウ,,,,かぎ,かま,,,,,,,
剿,ハチノスノスニリットウ,蜂の巣のスにりっとう,ソウ,ショウ,,,,た（つ）,ほろ（ぼす）,かすめと（る）,,,,,,
剽,ヒョウセツスルノヒョウ,剽窃するのヒョウ,ヒョウ,,,,,すばや（い）,かる（い）,あびや（かす）,かすめと（る）,,,,,
劍,ケン，ツルギノキュウジ,ケン，剣（つるぎ）の旧字,,,,,,,,,,,,,,
劔,ケン，ツルギノイタイジ，ツクリガヤイバノイタイジ,ケン，剣（つるぎ）の異体字，旁が刃の異体字,,,,,,,,,,,,,,
劒,ケン，ツルギノイタイジ，ツクリガカタナニテン,ケン，剣（つるぎ）の異体字，旁が刀に点,,,,,,,,,,,,,,
剱,ケン，ツルギノイタイジ，ジョウヨウカンジノケンノツクリガヤイバノイタイジ,ケン，剣（つるぎ）の異体字，常用漢字の剣の旁が刃の異体字,,,,,,,,,,,,,,
劈,ヘキ，カベノツチノカワリニカタナ,ヘキ，壁の土の代わりに刀,ヘキ,,,,,さ（く）,つんざ（く）,,,,,,,
劑,ヤクザイシノザイノキュウジ,薬剤師のザイの旧字,,,,,,,,,,,,,,
辨,ベンベツスルノベンノキュウジ，カライ，シンフタツノアイダニリットウ,弁別するのベンの旧字，辛い二つの間にりっとう,,,,,,,,,,,,,,
辧,ベンベツスルノベンノキュウジ，カライ，シンフタツノアイダニカタナ,弁別するのベンの旧字，辛い二つの間に刀（かたな）,,,,,,,,,,,,,,
劬,ク，ハイクノクニチカラ,ク，俳句のクに力（ちから）,ク,グ,,,,つか（れる）,,,,,,,,
劭,ショウ，マネクノツクリニチカラ,ショウ，招くの旁に力（ちから）,ショウ,,,,,つと（める）,,,,,,,,
劼,カツ，ダイキチノキチニチカラ,カツ，大吉のキチに力（ちから）,カツ,,,,,つつし（む）,つと（める）,,,,,,,
劵,ケン，ジョウシャケンノケンノカタナノカワリニチカラ,ケン，乗車券のケンの刀の代わりに力,,,,,,,,,,,,,,
勁,ケイ，ツヨイ，ケイドウミャクノケイノヒダリガワニチカラ,ケイ，つよい，頸動脈のケイの左側に力（ちから）,ケイ,,,,,つよ（い）,,,,,,,,
勍,ケイ，トウキョウノキョウニチカラ,ケイ，東京のキョウに（ちから）,ケイ,,,,,つよ（い）,,,,,,,,
勗,キョク，ニチョウビノニチノシタニキュウジョスルノジョ,キョク，日曜日のニチの下に救助するのジョ,キョク,,,,,つと（める）,はげ（ます）,,,,,,,
勞,ロウドウノロウノキュウジ,労働のロウの旧字,,,,,,,,,,,,,,
勣,セキ，セキニンノセキニチカラ,セキ，責任のセキに力,,,,,,,,,,,,,,
勦,ソウ，ハチノスノキュウジニチカラ,ソウ，蜂の巣の旧字に力（ちから）,,,,,,,,,,,,,,
飭,チョク，ショクヘンニカタカナノノ，ヨコボウニチカラ,チョク，食偏に片仮名のノ，横棒に力（ちから）,チィク,,,,,つつし（む）,ただ（す）,いましめ（る）,ととの（える）,,,,,
勠,リク，ゴビュウノビュウノツクリニチカラ,リク，誤謬のビュウの旁に力（ちから）,リク,,,,,あわ（せる）,,,,,,,,
勳,クンショウノクン，イサオノキュウジ,勲章のクン，いさおの旧字,,,,,,,,,,,,,,
勵,ゲキレイスルノレイノキュウジ,激励するのレイの旧字,,,,,,,,,,,,,,
勸,カンユウスルノカン，ススメルノキュウジ,勧誘するのカン，勧めるの旧字,,,,,,,,,,,,,,
勹,ホウ，ブシュノツツミガマエ,ホウ，部首のつつみがまえ,,,,,,,,,,,,,,
匆,ソウ，ネギカラクサカンムリトココロヲトッタカタチ,ソウ，葱から草冠と心を取った形,ソウ,,,,,いそが（しい）,あわ（てる）,,,,,,,
匈,ユウボクミンゾクノキョウドノキョウ,遊牧民族の匈奴のキョウ,キョウ,,,,,むね,わる（い）,かまびす（しい）,,,,,,
甸,デン，ツツミガマエニタンボノタ,デン，つつみがまえに田んぼのタ,テン,デン,,,,おさ（める）,か（り）,か（る）,,,,,,
匍,ホフクゼンシンノホ,匍匐前進のホ,ホ,,,,,は（う）,はらば（う）,,,,,,,
